z,rho_adaptive,rho_uniform,delta_rho,eloc_adaptive,eloc_uniform,delta_eloc
-1.0924999713897705,0.030575435608625412,0.029430299997329712,0.0011451356112957,-0.04144325479865074,-0.03889888897538185,-0.0025443658232688904
-1.0850000381469727,0.031068872660398483,0.029866263270378113,0.0012026093900203705,-0.04227770119905472,-0.03960926830768585,-0.002668432891368866
-1.0774998664855957,0.03156232461333275,0.03038358874619007,0.0011787358671426773,-0.043112173676490784,-0.04052380472421646,-0.0025883689522743225
-1.0700000524520874,0.03205575421452522,0.03106355480849743,0.0009921994060277939,-0.043946608901023865,-0.04184647649526596,-0.002100132405757904
-1.0625,0.03254919871687889,0.03174354508519173,0.0008056536316871643,-0.044781070202589035,-0.04316919296979904,-0.0016118772327899933
-1.0549999475479126,0.03304264321923256,0.032423533499240875,0.000619109719991684,-0.04561552777886391,-0.04449190944433212,-0.001123618334531784
-1.0474998950958252,0.03353608772158623,0.033103518187999725,0.0004325695335865021,-0.04644998908042908,-0.045814622193574905,-0.0006353668868541718
-1.0399999618530273,0.0340295247733593,0.03378349542617798,0.0002460293471813202,-0.047284435480833054,-0.047137316316366196,-0.0001471191644668579
-1.03249990940094,0.034522973001003265,0.03446348384022713,5.9489160776138306e-05,-0.048118896782398224,-0.04846003279089928,0.00034113600850105286
-1.024999976158142,0.03501641005277634,0.03514346107840538,-0.00012705102562904358,-0.0489533431828022,-0.04978272691369057,0.0008293837308883667
-1.0174999237060547,0.035509854555130005,0.03582344949245453,-0.0003135949373245239,-0.04978780075907707,-0.05110544338822365,0.001317642629146576
-1.0099999904632568,0.036003291606903076,0.03650342673063278,-0.0005001351237297058,-0.05062224715948105,-0.05242813751101494,0.0018058903515338898
-1.0024999380111694,0.03683490306138992,0.03718341514468193,-0.00034851208329200745,-0.05240021273493767,-0.05375085398554802,0.0013506412506103516
-0.9949999451637268,0.037762392312288284,0.03786339983344078,-0.00010100752115249634,-0.05444568023085594,-0.05507355555891991,0.0006278753280639648
-0.987500011920929,0.03868987411260605,0.038543377071619034,0.00014649704098701477,-0.05649112910032272,-0.056396253407001495,-9.487569332122803e-05
-0.9799998998641968,0.039617374539375305,0.03922336921095848,0.00039400532841682434,-0.058536626398563385,-0.05771897733211517,-0.0008176490664482117
-0.9724999070167542,0.040544863790273666,0.03990335389971733,0.0006415098905563354,-0.06058209016919136,-0.05904168263077736,-0.0015404075384140015
-0.9650000929832458,0.04147233068943024,0.04058331996202469,0.0008890107274055481,-0.06262750923633575,-0.06036435440182686,-0.002263154834508896
-0.9574999809265137,0.04239983111619949,0.041263312101364136,0.0011365190148353577,-0.06467300653457642,-0.061687082052230835,-0.002985924482345581
-0.9499999284744263,0.04332732781767845,0.041943300515413284,0.0013840273022651672,-0.06671848893165588,-0.06300979852676392,-0.0037086904048919678
-0.9424999356269836,0.04425481706857681,0.042623285204172134,0.0016315318644046783,-0.06876394897699356,-0.0643325001001358,-0.004431448876857758
-0.9350000619888306,0.04518228769302368,0.04330325499176979,0.001879032701253891,-0.07080938667058945,-0.0656551867723465,-0.0051541998982429504
-0.9275000095367432,0.04610978439450264,0.04398324340581894,0.0021265409886837006,-0.07285486161708832,-0.06697790324687958,-0.00587695837020874
-0.919999897480011,0.047037288546562195,0.044663235545158386,0.0023740530014038086,-0.07490035891532898,-0.06830062717199326,-0.006599731743335724
-0.9124999046325684,0.04796477407217026,0.045343220233917236,0.0026215538382530212,-0.07694582641124725,-0.06962332874536514,-0.007322497665882111
-0.9049999713897705,0.04889225587248802,0.04602319747209549,0.0028690584003925323,-0.07899127900600433,-0.07094602286815643,-0.0080452561378479
-0.8974999785423279,0.04981974512338638,0.04683313146233559,0.0029866136610507965,-0.08103673905134201,-0.0726863294839859,-0.00835040956735611
-0.8899998664855957,0.05074724555015564,0.04790288954973221,0.0028443560004234314,-0.08308223634958267,-0.07526157051324844,-0.007820665836334229
-0.8825000524520874,0.05167471244931221,0.04897260293364525,0.0027021095156669617,-0.08512765169143677,-0.07783670723438263,-0.007290944457054138
-0.8749999403953552,0.052602216601371765,0.05004236474633217,0.0025598518550395966,-0.08717315644025803,-0.08041194826364517,-0.006761208176612854
-0.8675000071525574,0.05352969840168953,0.0511120967566967,0.0024176016449928284,-0.08921860158443451,-0.08298712968826294,-0.00623147189617157
