z,rho_adaptive,rho_uniform,delta_rho,eloc_adaptive,eloc_uniform,delta_eloc
-1.8574998378753662,0.004926246590912342,0.0050558303482830524,-0.00012958375737071037,-0.004194273613393307,-0.004307923838496208,0.00011365022510290146
-1.850000023841858,0.00502006895840168,0.0051346891559660435,-0.00011462019756436348,-0.004291559103876352,-0.00438691908493638,9.535998106002808e-05
-1.8424999713897705,0.0051138936541974545,0.005213551223278046,-9.96575690805912e-05,-0.004388847388327122,-0.004465916659682989,7.706927135586739e-05
-1.8349997997283936,0.005207720212638378,0.0052924142219126225,-8.469400927424431e-05,-0.00448613753542304,-0.004544916097074747,5.8778561651706696e-05
-1.8274999856948853,0.005301542580127716,0.0053712730295956135,-6.973044946789742e-05,-0.004583422560244799,-0.004623911343514919,4.048878327012062e-05
-1.8199999332427979,0.0053953672759234905,0.005450135096907616,-5.476782098412514e-05,-0.004680710844695568,-0.004702908918261528,2.219807356595993e-05
-1.8124998807907104,0.005489192437380552,0.0055289966985583305,-3.9804261177778244e-05,-0.0047779991291463375,-0.004781906958669424,3.907829523086548e-06
-1.8050000667572021,0.005583014339208603,0.005607855971902609,-2.4841632694005966e-05,-0.004875284619629383,-0.004860902205109596,-1.4382414519786835e-05
-1.7974998950958252,0.005676840897649527,0.0057003917172551155,-2.3550819605588913e-05,-0.0049725743010640144,-0.004957784898579121,-1.4789402484893799e-05
-1.790000081062317,0.005770662799477577,0.005820263642817736,-4.960084334015846e-05,-0.00506985979154706,-0.005090423859655857,2.0564068108797073e-05
-1.7825000286102295,0.005864487960934639,0.005940139293670654,-7.565133273601532e-05,-0.0051671480759978294,-0.005223067011684179,5.591893568634987e-05
-1.7750000953674316,0.0059583112597465515,0.006060013081878424,-0.00010170182213187218,-0.005264434963464737,-0.005355707835406065,9.127287194132805e-05
-1.7675000429153442,0.006052136421203613,0.00617988919839263,-0.00012775277718901634,-0.005361723247915506,-0.005488350987434387,0.00012662773951888084
-1.7599999904632568,0.006145961582660675,0.006299764849245548,-0.0001538032665848732,-0.005459011532366276,-0.005620994139462709,0.00016198260709643364
-1.7524998188018799,0.006239788141101599,0.006419642362743616,-0.00017985422164201736,-0.0055563016794621944,-0.005753639154136181,0.00019733747467398643
-1.7450000047683716,0.006333610042929649,0.006539514288306236,-0.00020590424537658691,-0.005653586704283953,-0.005886278115212917,0.00023269141092896461
-1.7374999523162842,0.006427435204386711,0.006659389939159155,-0.00023195473477244377,-0.0057508754543960094,-0.0060189212672412395,0.0002680458128452301
-1.7299997806549072,0.0065477155148983,0.00677926791831851,-0.00023155240342020988,-0.005883973091840744,-0.006151566281914711,0.000267593190073967
-1.722499966621399,0.006685556843876839,0.00689913984388113,-0.00021358300000429153,-0.006040842738002539,-0.0062842052429914474,0.00024336250498890877
-1.7150001525878906,0.006823398172855377,0.00701901176944375,-0.00019561359658837318,-0.006197712849825621,-0.006416843738406897,0.00021913088858127594
-1.7074999809265137,0.006961246021091938,0.007138889282941818,-0.00017764326184988022,-0.006354589946568012,-0.006549489218741655,0.0001948992721736431
-1.6999999284744263,0.007099091541022062,0.007258764933794737,-0.00015967339277267456,-0.006511464715003967,-0.006682132370769978,0.00017066765576601028
-1.692500114440918,0.007236932870000601,0.007378636859357357,-0.0001417039893567562,-0.006668334826827049,-0.006814770866185427,0.00014643603935837746
-1.684999942779541,0.007374781183898449,0.007498514838516712,-0.00012373365461826324,-0.006825211923569441,-0.0069474163465201855,0.00012220442295074463
-1.6774998903274536,0.007512626703828573,0.007618390489369631,-0.00010576378554105759,-0.006982086692005396,-0.00708005903288722,9.79723408818245e-05
-1.6699998378753662,0.007650472689419985,0.0077382661402225494,-8.779345080256462e-05,-0.007138961926102638,-0.007212702184915543,7.374025881290436e-05
